product_id,product_name,product_url,category_id,category_name,category_root_name,price,original_price,discount_rate,quantity_sold,rating_average,review_count,is_return_policy,is_freeship_xtra,is_authentic,image_count,video_count,is_brand,brand_name,origin,store_id,store_name,store_review_count,total_follower,is_official,cancel_by_seller_rate,cancel_by_seller_rate_status,return_rate,return_rate_status,China,Japan,Other,South Korea,Thailand,USA,Vietnam,Others
103298375,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM67,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm67-p103298375.html?spid=103298391,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
103244048,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM63,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm63-p103244048.html?spid=103244057,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
102908183,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM62,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm62-p102908183.html?spid=102908195,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
102581214,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM59,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm59-p102581214.html?spid=102581232,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
102579186,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM58,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm58-p102579186.html?spid=102579200,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
102575984,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM57,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm57-p102575984.html?spid=102575988,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
102509426,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM55,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm55-p102509426.html?spid=102509444,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,7.0,5.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
101991074,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM51,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm51-p101991074.html?spid=101991076,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
91388606,ÁO THUN NAM CAO CẤP CỔ BẺ PEGA IN,https://tiki.vn/product-p91388606.html?spid=113228056,917,Áo thun nam,Thời trang nam,354900.0,354900.0,0.0,,0.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,OEM,Vietnam,204632.0,TD2000 store,148.0,26.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
91386804,ÁO THUN CAO CẤP M2 CỔ TRÒN NAM,https://tiki.vn/product-p91386804.html?spid=113225976,917,Áo thun nam,Thời trang nam,259350.0,259350.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,OEM,Vietnam,204632.0,TD2000 store,148.0,26.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
87532038,Áo phông nam dệt Aligro ALGPLO46 màu xám đậm,https://tiki.vn/ao-phong-nam-det-aligro-algplo46-mau-xam-dam-p87532038.html?spid=87532047,917,Áo thun nam,Thời trang nam,299000.0,335000.0,11.0,,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,Aligro,Vietnam,8094.0,ALIGRO,143.0,115.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
84867021,Áo Sát Nách Thể Thao Nam Tập Gym - Chất Liệu Thun Lỗ Kim Cao Cấp SZone SA108,https://tiki.vn/ao-sat-nach-the-thao-nam-tap-gym-chat-lieu-thun-lo-kim-cao-cap-szone-sa108-p84867021.html?spid=84867027,917,Áo thun nam,Thời trang nam,97000.0,97000.0,0.0,15.0,3.0,2.0,1.0,1.0,1.0,6.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
83517890,Áo phông cá sấu nam cao cấp SITAKI ATN09,https://tiki.vn/a-o-phong-ca-sa-u-nam-cao-ca-p-sitaki-atn09-p83517890.html?spid=83518509,917,Áo thun nam,Thời trang nam,325000.0,325000.0,0.0,,0.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,OEM,Vietnam,22563.0,sitaki store,821.0,80.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
